Subtitle Words,Search,Ignore
stick,,
still,,
sting,,
stink,,
stinker,,
stinking,,
stole,,
stone,,
stood,,
stop,,
stopping,,
stories,,
storm,,
stormcrow,,
story,,
strange,,
strangely,,
strayed,,
strength,,
strike,,
stroke,,
strong,,
struggle,,
stuff,,
stupid,,
such,,
sun,,
sure,,
surround,,
survival,,
survived,,
survives,,
swamp,,
swear,,
swearing,,
swears,,
sweet,,
swift,,
swiftly,,
sword,,
swords,,
t,,
ta,,
take,,
taken,,
takes,,
taking,,
tale,,
tales,,
talk,,
talking,,
tall,,
task,,
taste,,
tasty,,
taters,,
tears,,
teeth,,
tell,,
ten,,
tender,,
tens,,
terrible,,
terror,,
than,,
thank,,
that,,
their,,
them,,
then,,
thengel,,
theoden,,
theodred,,
there,,
these,,
they,,
thick,,
thief,,
thieves,,
thing,,
things,,
think,,
thinks,,
third,,
this,,
those,,
thought,,
thousand,,
thousands,,
thread,,
three,,
threw,,
throat,,
throttle,,
through,,
throw,,
thunder,,
thunderclap,,
tickle,,
tide,,
tie,,
tight,,
tightening,,
timbers,,
time,,
tis,,
to,,
toes,,
together,,
told,,
tombs,,
tongue,,
tongues,,
too,,
took,,
toss,,
towers,,
track,,
tracking,,
tracks,,
tragedy,,
trail,,
trammel,,
trap,,
travelers,,
treacherous,,
treachery,,
treasure,,
treasures,,
tree,,
treebeard,,
trees,,
trick,,
tricksed,,
tricksy,,
tried,,
troubled,,
troubles,,
TRUE,,
trust,,
trusted,,
try,,
trying,,
tuckborough,,
tumble,,
tunnel,,
turn,,
turning,,
turns,,
twenty,,
twisted,,
two,,
udun,,
unarmed,,
unchallenged,,
unchecked,,
uncle,,
under,,
understand,,
undimmed,,
undo,,
undying,,
union,,
unleash,,
unleashed,,
unless,,
unnoticed,,
until,,
unto,,
up,,
upon,,
urak,,
uruk,,
uruks,,
us,,
use,,
used,,
usually,,
usurpers,,
utterly,,
vain,,
valar,,
valor,,
ve,,
very,,
victory,,
village,,
villager,,
villages,,
voice,,
voices,,
volley,,
vulnerable,,
wailing,,
wait,,
walk,,
walked,,
walking,,
walks,,
wall,,
walls,,
wane,,
want,,
wanting,,
wants,,
war,,
warg,,
wargs,,
warmongering,,
warning,,
warrant,,
wars,,
was,,
wasn,,
wasted,,
watch,,
watched,,
watches,,
watching,,
water,,
wax,,
way,,
ways,,
we,,
weak,,
weakness,,
weapon,,
wearied,,
weather,,
wee,,
weep,,
welcome,,
well,,
were,,
west,,
western,,
westfold,,
westward,,
what,,
whatever,,
wheeled,,
wheels,,
when,,
where,,
whether,,
which,,
while,,
whinnies,,
whips,,
whisper,,
whispering,,
whistling,,
white,,
who,,
whom,,
whose,,
why,,
wicked,,
wield,,
wielder,,
wild,,
wilderness,,
will,,
wind,,
wings,,
winter,,
winters,,
wish,,
with,,
within,,
without,,
witless,,
wizard,,
wizards,,
woe,,
wolves,,
woman,,
women,,
won,,
wonder,,
woodland,,
woods,,
word,,
words,,
work,,
works,,
world,,
worm,,
wormtongue,,
worth,,
worthy,,
would,,
wouldn,,
wound,,
wounded,,
wraiths,,
wrath,,
wriggling,,
wring,,
wrong,,
yeah,,
years,,
yelling,,
yells,,
yes,,
yesterday,,
yet,,
young,,
your,,
yourself,,
